Time;Ano;Vitorias;Empates;Derrotas;Gols_Pro;Gols_Contra;Cartoes_Amarelos;Cartoes_Vermelhos
Atlético-MG;2025;12;12;14;43;44;96;9
Bahia;2025;17;9;12;50;46;86;6
Botafogo;2025;17;12;9;58;38;94;6
Ceará;2025;11;10;17;34;40;89;4
Corinthians;2025;12;11;15;42;47;110;9
Cruzeiro;2025;19;13;6;55;31;106;5
Flamengo;2025;23;10;5;78;27;78;5
Fluminense;2025;19;7;12;50;39;82;5
Fortaleza;2025;11;10;17;43;58;108;10
Grêmio;2025;13;10;15;47;50;111;6
Internacional;2025;11;11;16;44;57;90;7
Juventude;2025;9;8;21;35;69;110;7
Mirassol;2025;18;13;7;63;39;93;3
Palmeiras;2025;23;7;8;66;33;86;8
Red Bull Bragantino;2025;14;6;18;45;57;114;4
Santos;2025;12;11;15;45;50;92;4
São Paulo;2025;14;9;15;43;47;102;6
Sport;2025;2;11;25;28;75;98;4
Vasco da Gama;2025;13;6;19;55;60;79;6
Vitória;2025;11;12;15;35;52;109;9
